Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
02/07/2025,ASIA MILES LIMITED  HONG KONG           HK,-5.65,"######NZal0 AIRLINE/AIR CARRIER
PASSENGER TICKET
ASIA MILES LIMITED
HONG KONG
HK
Carrier : Cathay Pacific Airlines
Passenger Name : THOMAS ADDAKIN MR
Ticket Number : 16000000000000
Departure Day : 05/19
Additional Info : PASSENGER TICKET
From : LOS ANGELES INTERN
To : PITTSBURGH INTERNA
Class : EForeign Spend Amount: 44.00 HONG KONG DOLLAR Commission Amount:  Currency Exchange Rate: null",ASIA MILES LIMITED  HONG KONG           HK,"SUBMISSION HKD
LANTAU",,,HONG KONG,'320250380876704521',Travel-Airline
02/07/2025,ASIA MILES LIMITED  HONG KONG           HK,-5.65,"######NZal5 AIRLINE/AIR CARRIER
PASSENGER TICKET
ASIA MILES LIMITED
HONG KONG
HK
Carrier : Cathay Pacific Airlines
Passenger Name : THOMAS ADDAKIN MR
Ticket Number : 16000000000000
Departure Day : 05/19
Additional Info : PASSENGER TICKET
From : LOS ANGELES INTERN
To : PITTSBURGH INTERNA
Class : EForeign Spend Amount: 44.00 HONG KONG DOLLAR Commission Amount:  Currency Exchange Rate: null",ASIA MILES LIMITED  HONG KONG           HK,"SUBMISSION HKD
LANTAU",,,HONG KONG,'320250380876718566',Travel-Airline
02/07/2025,Interest Charge on Pay Over Time Purchases,65.60,Interest Charge on Pay Over Time Purchases,Interest Charge on Pay Over Time Purchases,,,,,'150208080000587604',Fees & Adjustments-Fees & Adjustments
02/07/2025,MOBILE PAYMENT - THANK YOU,-1088.66,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320250380865762788',
02/04/2025,LATE FEE,29.00,LATE FEE,LATE FEE,,,,,'320250353814240848',Fees & Adjustments-Fees & Adjustments
02/01/2025,ARIA - ADV SALES    877-880-0880        NV,223.81,"5TC7RNIV57 5TC7RNIV57       89109
ARIA - ADV SALES
877-880-0880
NV
5TC7RNIV57       89109",ARIA - ADV SALES    877-880-0880        NV,4882 FRANK SINATRA DR,"LAS VEGAS
NV",89158-4316,UNITED STATES,'320250330739527229',Travel-Lodging
01/28/2025,DISNEYPLUS          888-905-7888        CA,21.39,"54411079392 888-905-7888
DISNEYPLUS
888-905-7888
CA
888-905-7888",DISNEYPLUS          888-905-7888        CA,500 SOUTH BUENA VIS ST,"BURBANK
CA",91521,UNITED STATES,'320250280613939447',Business Services-Office Supplies
01/28/2025,Platinum Digital Entertainment Credit,-20.00,"DISNEYPLUS
Platinum Digital Entertainment Credit",Platinum Digital Entertainment Credit,500 SOUTH BUENA VIS ST,"BURBANK
CA",91521,UNITED STATES,'320250290634840773',Business Services-Office Supplies
01/28/2025,Platinum Walmart+ Credit,-13.86,"WALMART.COM W+ AMEX
Platinum Walmart+ Credit",Platinum Walmart+ Credit,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712,UNITED STATES,'320250290634689035',Merchandise & Supplies-Internet Purchase
01/28/2025,WALMART.COM W+ AMEX BENTONVILLE         AR,13.86,"WPQYGAQGNCW 800-925-6278
WALMART.COM W+ AMEX
BENTONVILLE
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM W+ AMEX BENTONVILLE         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712,UNITED STATES,'320250280632979118',Merchandise & Supplies-Internet Purchase
