Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
01/10/2025,Interest Charge on Pay Over Time Purchases,71.29,Interest Charge on Pay Over Time Purchases,Interest Charge on Pay Over Time Purchases,,,,,'150111040000590341',Fees & Adjustments-Fees & Adjustments
01/06/2025,ASIA MILES LIMITED  HONG KONG           HK,111.62,"######MjjJ2 AIRLINE/AIR CARRIER
PASSENGER TICKET
ASIA MILES LIMITED
HONG KONG
HK
Carrier : Cathay Pacific Airlines
Passenger Name : DIMOND/WILLIAM MR
Ticket Number : 1602398387337
Departure Day : 07/30
Additional Info : PASSENGER TICKET
From : PITTSBURGH INTERNA
To : NEW YORK LA GUARDI
Class : EForeign Spend Amount: 868.00 HONG KONG DOLLAR Commission Amount:  Currency Exchange Rate: null",ASIA MILES LIMITED  HONG KONG           HK,"SUBMISSION HKD
LANTAU",,,HONG KONG,'320250060066279295',Travel-Airline
01/05/2025,Amex Send: Add Money,200.00,"11:32 AM MST
Amex Send: Add Money",Amex Send: Add Money,200 VESEY ST,"NEW YORK
NY",10285,UNITED STATES,'320250050038519727',Other-Miscellaneous
01/05/2025,HAMPTON INN BY HILTOEL SALTO,91.27,"003464      LODGING
HAMPTON INN BY HILTON GUADALAJARA APTO
EL SALTO
LODGINGForeign Spend Amount: 1872.48 MEXICAN PESO Commission Amount:  Currency Exchange Rate: null",HAMPTON INN BY HILTOEL SALTO,"CARR A CHAPALA 7012
LAS PINTAS
EL SALTO",,45690,MEXICO,'320250050056273224',Travel-Lodging
12/30/2024,PIGEONS PLAYING PINGWESTLAKE VILLAGE    CA,80.00,"NT_RUW8BMSX +16502396947
PIGEONS PLAYING PING P
WESTLAKE VILLAGE
CA
+16502396947",PIGEONS PLAYING PINGWESTLAKE VILLAGE    CA,"5776 LINDERO CP RD
SUITE D366","WESTLAKE VILLAGE
CA",91362,UNITED STATES,'320243660931250460',Merchandise & Supplies-Clothing Stores
12/28/2024,DISNEYPLUS          888-905-7888        CA,21.39,"49390782978 888-905-7888
DISNEYPLUS
888-905-7888
CA
888-905-7888",DISNEYPLUS          888-905-7888        CA,500 SOUTH BUENA VIS ST,"BURBANK
CA",91521,UNITED STATES,'320243630840925663',Business Services-Office Supplies
12/28/2024,Platinum Digital Entertainment Credit,-20.00,"DISNEYPLUS
Platinum Digital Entertainment Credit",Platinum Digital Entertainment Credit,500 SOUTH BUENA VIS ST,"BURBANK
CA",91521,UNITED STATES,'320243660908419688',Business Services-Office Supplies
12/28/2024,Platinum Walmart+ Credit,-13.86,"WALMART.COM W+ AMEX
Platinum Walmart+ Credit",Platinum Walmart+ Credit,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712,UNITED STATES,'320243660908408286',Merchandise & Supplies-Internet Purchase
12/28/2024,WALMART.COM W+ AMEX BENTONVILLE         AR,13.86,"W43YQG4DAJ0 800-925-6278
WALMART.COM W+ AMEX
BENTONVILLE
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM W+ AMEX BENTONVILLE         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712,UNITED STATES,'320243630837875803',Merchandise & Supplies-Internet Purchase
12/27/2024,MOBILE PAYMENT - THANK YOU,-1958.93,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320243620808935106',
