Description,Amount,Appears On Your Statement As,City/State,Category,Month,Day,Parent Category,Account
UBER,16.39,AplPay Uber Trip    help.uber.com       CA,"SAN FRANCISCO
CA",Transportation-Taxis & Coach,February,9,Transportation,AMEX
UBER,20.93,AplPay Uber Trip    help.uber.com       CA,"SAN FRANCISCO
CA",Transportation-Taxis & Coach,February,9,Transportation,AMEX
Interest Charge on Pay Over Time Purchases,43.88,Interest Charge on Pay Over Time Purchases,,Fees & Adjustments-Fees & Adjustments,February,9,Fees & Adjustments,AMEX
TST* MIKE'S BEER BARPITTSBURGH          PA,3.67,TST* MIKE'S BEER BARPITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Bar & Café,February,9,Food & Drinks,AMEX
UBER,14.96,AplPay Uber Trip    help.uber.com       CA,"SAN FRANCISCO
CA",Transportation-Taxis & Coach,February,8,Transportation,AMEX
MCDONALD'S F4817 000PITTSBURGH          PA,14.42,MCDONALD'S F4817 000PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Bar & Café,February,6,Food & Drinks,AMEX
Sunoco Gas          215-977-3000        TX,7.28,Sunoco Gas          215-977-3000        TX,"-
TX",Transportation-Fuel,February,6,Transportation,AMEX
Sunoco Gas          215-977-3000        TX,5.28,Sunoco Gas          215-977-3000        TX,"-
TX",Transportation-Fuel,February,5,Transportation,AMEX
Sunoco Gas          215-977-3000        TX,8.37,Sunoco Gas          215-977-3000        TX,"-
TX",Transportation-Fuel,February,5,Transportation,AMEX
ASIA MILES LIMITED  HONG KONG           HK,111.4,ASIA MILES LIMITED  HONG KONG           HK,,Travel-Airline,February,4,Travel,AMEX
ALASKA AIRLINES     SEATTLE             WA,5.6,ALASKA AIRLINES     SEATTLE             WA,"SEATTLE
WA",Travel-Airline,February,3,Travel,AMEX
ALASKA AIRLINES     SEATTLE             WA,5.6,ALASKA AIRLINES     SEATTLE             WA,"SEATTLE
WA",Travel-Airline,February,3,Travel,AMEX
ALASKA AIRLINES     SEATTLE             WA,12.5,ALASKA AIRLINES     SEATTLE             WA,"SEATTLE
WA",Travel-Airline,February,3,Travel,AMEX
ALASKA AIRLINES     SEATTLE             WA,12.5,ALASKA AIRLINES     SEATTLE             WA,"SEATTLE
WA",Travel-Airline,February,3,Travel,AMEX
AplPay Southwest AirDALLAS              TX,5.6,AplPay Southwest AirDALLAS              TX,"DALLAS
TX",Travel-Airline,February,2,Travel,AMEX
AplPay Southwest AirDALLAS              TX,5.6,AplPay Southwest AirDALLAS              TX,"DALLAS
TX",Travel-Airline,February,2,Travel,AMEX
MEM RWDS AIRLINE TAX OFFSET FEE,5.4,MEM RWDS AIRLINE TAX OFFSET FEE,,Fees & Adjustments-Fees & Adjustments,February,2,Fees & Adjustments,AMEX
MEM RWDS AIRLINE TAX OFFSET FEE,14.4,MEM RWDS AIRLINE TAX OFFSET FEE,,Fees & Adjustments-Fees & Adjustments,February,2,Fees & Adjustments,AMEX
AplPay Sunoco Gas   215-977-3000        TX,3.41,AplPay Sunoco Gas   215-977-3000        TX,"-
TX",Transportation-Fuel,February,1,Transportation,AMEX
AplPay TARGET       PITTSBURGH          PA,215.69,AplPay TARGET       PITTSBURGH          PA,"PITTSBURGH
PA",Merchandise & Supplies-Wholesale Stores,February,1,Shopping,AMEX
Sunoco Gas          215-977-3000        TX,3.79,Sunoco Gas          215-977-3000        TX,"-
TX",Transportation-Fuel,January,31,Transportation,AMEX
UBER,13.83,AplPay Uber Trip    help.uber.com       CA,"SAN FRANCISCO
CA",Transportation-Taxis & Coach,January,29,Transportation,AMEX
UBER,13.98,AplPay Uber Trip    help.uber.com       CA,"SAN FRANCISCO
CA",Transportation-Taxis & Coach,January,29,Transportation,AMEX
Sunoco Gas          215-977-3000        TX,12.31,Sunoco Gas          215-977-3000        TX,"-
TX",Transportation-Fuel,January,29,Transportation,AMEX
AMEX DUNKIN' CREDIT,-5.0,AMEX DUNKIN' CREDIT,"CANTON
MA",Restaurant-Bar & Café,January,28,Food & Drinks,AMEX
AplPay DUNKIN' MOBILCANTON              MA,5.0,AplPay DUNKIN' MOBILCANTON              MA,"CANTON
MA",Restaurant-Bar & Café,January,28,Food & Drinks,AMEX
AplPay KYURAMEN (PITSEVEN FIELDS        PA,98.79,AplPay KYURAMEN (PITSEVEN FIELDS        PA,"SEVEN FIELDS
PA",Restaurant-Restaurant,January,28,Food & Drinks,AMEX
MOES SW GRILL 939 00PITTSBURGH          PA,13.64,MOES SW GRILL 939 00PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Bar & Café,January,28,Food & Drinks,AMEX
SHEETZ 0784   007849CRANBERRY TOW       PA,10.81,SHEETZ 0784   007849CRANBERRY TOW       PA,"CRANBERRY TOWNSHIP
PA",Transportation-Fuel,January,27,Transportation,AMEX
Sunoco Gas          215-977-3000        TX,5.0,Sunoco Gas          215-977-3000        TX,"-
TX",Transportation-Fuel,January,27,Transportation,AMEX
AplPay Sunoco Gas   215-977-3000        TX,18.75,AplPay Sunoco Gas   215-977-3000        TX,"-
TX",Transportation-Fuel,January,26,Transportation,AMEX
AMEX RESY CREDIT,-50.0,AMEX RESY CREDIT,"PITTSBURGH
PA",Restaurant-Restaurant,January,22,Food & Drinks,AMEX
TST* GAUCHO PARRILLAPITTSBURGH          PA,172.72,TST* GAUCHO PARRILLAPITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Restaurant,January,22,Food & Drinks,AMEX
