Description,Amount,Category,Month,Day,Action,Statement
UBER,16.39,Uber,February,9,Spend,AMEX
UBER,20.93,Uber,February,9,Spend,AMEX
Interest Charge on Pay Over Time Purchases,43.88,Fees,February,9,Spend,AMEX
TST* MIKE'S BEER BARPITTSBURGH          PA,3.67,Bar,February,9,Spend,AMEX
UBER,14.96,Uber,February,8,Spend,AMEX
MCDONALD'S F4817 000PITTSBURGH          PA,14.42,Bar,February,6,Spend,AMEX
Sunoco Gas          215-977-3000        TX,7.28,Gas,February,6,Spend,AMEX
Sunoco Gas          215-977-3000        TX,5.28,Gas,February,5,Spend,AMEX
Sunoco Gas          215-977-3000        TX,8.37,Gas,February,5,Spend,AMEX
ASIA MILES LIMITED  HONG KONG           HK,111.4,Travel,February,4,Spend,AMEX
ALASKA AIRLINES     SEATTLE             WA,5.6,Travel,February,3,Spend,AMEX
ALASKA AIRLINES     SEATTLE             WA,5.6,Travel,February,3,Spend,AMEX
ALASKA AIRLINES     SEATTLE             WA,12.5,Travel,February,3,Spend,AMEX
ALASKA AIRLINES     SEATTLE             WA,12.5,Travel,February,3,Spend,AMEX
AplPay Southwest AirDALLAS              TX,5.6,Travel,February,2,Spend,AMEX
AplPay Southwest AirDALLAS              TX,5.6,Travel,February,2,Spend,AMEX
MEM RWDS AIRLINE TAX OFFSET FEE,5.4,Fees,February,2,Spend,AMEX
MEM RWDS AIRLINE TAX OFFSET FEE,14.4,Fees,February,2,Spend,AMEX
AplPay Sunoco Gas   215-977-3000        TX,3.41,Gas,February,1,Spend,AMEX
AplPay TARGET       PITTSBURGH          PA,215.69,Shopping,February,1,Spend,AMEX
Sunoco Gas          215-977-3000        TX,3.79,Gas,January,31,Spend,AMEX
UBER,13.83,Uber,January,29,Spend,AMEX
UBER,13.98,Uber,January,29,Spend,AMEX
Sunoco Gas          215-977-3000        TX,12.31,Gas,January,29,Spend,AMEX
AMEX DUNKIN' CREDIT,-5.0,Bar,January,28,Income,AMEX
AplPay DUNKIN' MOBILCANTON              MA,5.0,Bar,January,28,Spend,AMEX
AplPay KYURAMEN (PITSEVEN FIELDS        PA,98.79,Restaurant,January,28,Spend,AMEX
MOES SW GRILL 939 00PITTSBURGH          PA,13.64,Bar,January,28,Spend,AMEX
SHEETZ 0784   007849CRANBERRY TOW       PA,10.81,Gas,January,27,Spend,AMEX
Sunoco Gas          215-977-3000        TX,5.0,Gas,January,27,Spend,AMEX
AplPay Sunoco Gas   215-977-3000        TX,18.75,Gas,January,26,Spend,AMEX
MOBILE PAYMENT - THANK YOU,-2000.51,,January,25,Income,AMEX
AMEX RESY CREDIT,-50.0,Restaurant,January,22,Income,AMEX
MOBILE PAYMENT - THANK YOU,-731.0,,January,22,Income,AMEX
TST* GAUCHO PARRILLAPITTSBURGH          PA,172.72,Restaurant,January,22,Spend,AMEX
AMAZON MARKEPLACE NA PA,30.42,Utility,January,20,Spend,AMEX
MOES SOUTHWEST 10193PITTSBURGH          PA,9.95,Bar,January,12,Spend,AMEX
TRADER JOE S #638 00PITTSBURGH          PA,169.08,Grocery,January,12,Spend,AMEX
Interest Charge on Pay Over Time Purchases,71.29,Fees,January,10,Spend,AMEX
ASIA MILES LIMITED  HONG KONG           HK,111.62,Travel,January,6,Spend,AMEX
Amex Send: Add Money,200.0,Other,January,5,Spend,AMEX
HAMPTON INN BY HILTOEL SALTO,91.27,Travel,January,5,Spend,AMEX
PIGEONS PLAYING PINGWESTLAKE VILLAGE    CA,80.0,Shopping/Entertainment,December,30,Spend,AMEX
DISNEYPLUS          888-905-7888        CA,21.39,Shopping/Entertainment,December,28,Spend,AMEX
Platinum Digital Entertainment Credit,-20.0,Shopping/Entertainment,December,28,Income,AMEX
Platinum Walmart+ Credit,-13.86,Utility,December,28,Income,AMEX
WALMART.COM W+ AMEX BENTONVILLE         AR,13.86,Utility,December,28,Spend,AMEX
MOBILE PAYMENT - THANK YOU,-1958.93,,December,27,Income,AMEX
AMEX Airline Fee Reimbursement,-70.99,Travel,December,26,Income,AMEX
AMEX Airline Fee Reimbursement,-49.01,Travel,December,26,Income,AMEX
AplPay BT*GO PUFF*GOPHILADELPHIA        PA,28.6,Grocery,December,24,Spend,AMEX
Shop Saks with Platinum Credit,50.0,Utility,December,24,Spend,AMEX
UNITED AIRLINES     HOUSTON             TX,66.99,Travel,December,23,Spend,AMEX
UNITED AIRLINES     HOUSTON             TX,70.99,Travel,December,23,Spend,AMEX
CRATE&BARREL        PITTSBURGH          PA,17.07,Shopping/Entertainment,December,22,Spend,AMEX
YCC STORE 00665 0000PITTSBURGH          PA,65.48,Shopping/Entertainment,December,22,Spend,AMEX
OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,21.2,Shopping/Entertainment,December,19,Spend,AMEX
U-HAUL 809050       PHOENIX             AZ,101.6,Other,December,19,Spend,AMEX
Moxy Boston DowntownBoston              MA,122.28,Travel,December,17,Spend,AMEX
DELTA AIR LINES     ATLANTA,50.0,Travel,December,16,Spend,AMEX
Moxy Boston DowntownBoston              MA,14.88,Travel,December,16,Spend,AMEX
Moxy Boston DowntownBoston              MA,209.61,Travel,December,16,Spend,AMEX
AplPay HARVARD COOP CAMBRIDGE           MA,57.96,Shopping/Entertainment,December,14,Spend,AMEX
ASIA MILES LIMITED  HONG KONG           HK,-5.65,Travel,February,7,Income,AMEX
ASIA MILES LIMITED  HONG KONG           HK,-5.65,Travel,February,7,Income,AMEX
